nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2019,"Detection of Yellow Fever Virus in Sylvatic Mosquitoes during Disease Outbreaks of 2017-2018 in Minas Gerais State, Brazil","INSECTS",2075-4450,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2019,"The impact of large-scale deployment of Wolbachia mosquitoes on dengue and other Aedes-borne diseases in Rio de Janeiro and Niterói, Brazil: study protocol for a controlled interrupted time series analysis using routine disease surveillance data","F1000RESEARCH",2046-1402,A3,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2018,"Inhibition of the complement system by saliva of Anopheles (Nyssorhynchus) aquasalis","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2018,"Wolbachia significantly impacts the vector competence of Aedes aegypti for Mayaro virus","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2018,"In tune with nature: Wolbachia does not prevent pre-copula acoustic communication in Aedes aegypti","PARASITES & VECTORS",1756-3305,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2018,"Control of dengue virus in the midgut of Aedes aegypti by ectopic expression of the dsRNA-binding protein Loqs2","NATURE MICROBIOLOGY",2058-5276,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"The transcriptome of the mosquito Aedes fluviatilis (Diptera: Culicidae), and transcriptional changes associated with its native Wolbachia infection","BMC GENOMICS",1471-2164,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"Why is Aedes aegypti Linnaeus so Successful as a Species?","NEOTROPICAL ENTOMOLOGY",1519-566X,A4,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"The impact of Wolbachia infection on the rate of vertical transmission of dengue virus in Brazilian Aedes aegypti","PARASITES & VECTORS",1756-3305,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"Wolbachia infection in Aedes aegypti mosquitoes alters blood meal excretion and delays oviposition without affecting trypsin activity","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",0965-1748,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"Wolbachia and dengue virus infection in the mosquito Aedes fluviatilis (Diptera: Culicidae)","PLOS ONE",1932-6203,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"How does competition among wild type mosquitoes influences the performance of Aedes aegypti and dissemination of Wolbachia pipientis?","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2017,"Development and physiological effects of an artificial diet for Wolbachia-infected Aedes aegypti","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"Wolbachia Blocks Currently Circulating Zika Virus Isolates in Brazilian Aedes aegypti Mosquitoes","CELL HOST & MICROBE",1931-3128,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"The influence of larval competition on Brazilian Wolbachia-infected Aedes aegypti mosquitoes","PARASITES & VECTORS",1756-3305,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"Molecular basis of the remarkable species selectivity of an insecticidal sodium channel toxin from the African spider Augacephalus ezendami","SCIENTIFIC REPORTS",2045-2322,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"Inhibition of Zika virus by Wolbachia in Aedes aegypti","MICROBIAL CELL",2311-2638,A4,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"Zika control through the bacterium","FUTURE MICROBIOLOGY (PRINT)",1746-0913,A3,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"The re-emerging arboviral threat: Hidden enemies","BIOESSAYS (CAMBRIDGE)",0265-9247,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2016,"Diet-Induced Nutritional Stress and Pathogen Interference in Wolbachia-Infected Aedes aegypti","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2015,"Broader prevalence of Wolbachia in insects including potential human disease vectors","BULLETIN OF ENTOMOLOGICAL RESEARCH",0007-4853,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2015,"From Lab to Field: The Influence of Urban Landscapes on the Invasive Potential of Wolbachia in Brazilian Aedes aegypti Mosquitoes","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2015,"Exploiting Intimate Relationships: Controlling Mosquito-Transmitted Disease with Wolbachia","TRENDS IN PARASITOLOGY",1471-4922,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2014,"The Modulation of the Symbiont/Host Interaction between Wolbachia pipientis and Aedes fluviatilis Embryos by Glycogen Metabolism","PLOS ONE",1932-6203,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2014,"Wolbachia detection in insects through LAMP: loop mediated isothermal amplification","PARASITES & VECTORS",1756-3305,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2013,"wFlu: Characterization and Evaluation of a Native Wolbachia from the Mosquito Aedes fluviatilis as a Potential Vector Control Agent","PLOS ONE",1932-6203,A1,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2013,"Harnessing mosquito-Wolbachia symbiosis for vector and disease control","ACTA TROPICA",0001-706X,A2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2012,"A portable approach for the surveillance of dengue virus-infected mosquitoes","JOURNAL OF VIROLOGICAL METHODS",0166-0934,B2,,,2020
"Luciano Andrade Moreira",http://lattes.cnpq.br/5832739049925970,2012,"Why do we need alternative tools to control mosquito-borne diseases in Latin America?","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
