nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2016,"Sand Flies (Diptera: Psychodidae) From the Brazilian Atlantic Forest Domain Collected With Malaise Traps","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2016,"Abordagens alternativas para a vigilância da leishmaniose tegumentar em áreas indígenas - estudo de caso entre os Wajãpi do Amapá","VIGILÂNCIA SANITÁRIA EM DEBATE: SOCIEDADE, CIÊNCIA E TECNOLOGIA",2317-269X,B2,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2015,"Broader prevalence of Wolbachia in insects including potential human disease vectors","BULLETIN OF ENTOMOLOGICAL RESEARCH",0007-4853,A2,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2015,"Description of the male of Evandromyia gaucha Andrade Filho, Souza, Falcão (Psychodidae, Phlebotominae)","REVISTA BRASILEIRA DE ENTOMOLOGIA (IMPRESSO)",0085-5626,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2015,"Molecular Detection of Leishmania in Phlebotomine Sand Flies (Diptera: Psychodidae) from a Cutaneous Leishmaniasis Focus at Xakriabá Indigenous Reserve, Brazil","PLOS ONE",1932-6203,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2015,"DNA Barcoding of Neotropical Sand Flies (Diptera, Psychodidae, Phlebotominae): Species Identification and Discovery within Brazil","PLOS ONE",1932-6203,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2014,"Ecological aspects of the Phlebotominae fauna (Diptera: Psychodidae) in the Xakriaba Indigenous Reserve, Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2014,"Molecular Detection of Leishmania</i> in Sand Flies (Diptera: Psychodidae: Phlebotominae) Collected in the Caititu Indigenous Reserve of the Municipality of Lábrea, State of Amazonas, Brazil","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2014,"A lectotype designation for Psathyromyia brasiliensis and the taxonomic status of Phlebotomus oliverioi (Diptera: Psychodidae)","IHERINGIA. SÉRIE ZOOLOGIA (IMPRESSO)",0073-4721,B1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2013,"Phlebotomine sandflies (Diptera: Psychodidae) from Lábrea, state of Amazonas, Brazil, with a description of Evandromyia (Aldamyia) apurinan Shimabukuro, Figueira & Silva, sp. nov.","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2013,"On the taxonomic status of Phlebotomus breviductus</em> Barretto, 1950 (Diptera: Psychodidae: Phlebotominae)</strong>","ZOOTAXA (ONLINE)",1175-5334,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2013,"16S rRNA gene-based identification of microbiota associated with the parthenogenetic troglobiont sand fly Deanemyia maruaga (Diptera, Psychodidae) from central Amazon, Brazil","BRAZILIAN JOURNAL OF MICROBIOLOGY (IMPRESSO)",1517-8382,A2,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2013,"Avaliação clínica, imunológica e epidemiológica da leishmaniose tegumentar na comunidade xakriabá como estratégia para a adequação do serviço de saúde e controle da doença","GERAIS: REVISTA DE SAÚDE PÚBLICA DO SUS/MG",2318-2598,B4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2012,"Sand flies (Diptera, Psychodidae, Phlebotominae) from Central Amazonia, and new records of four species for the state of Amazonas, Brazil.","REVISTA BRASILEIRA DE ENTOMOLOGIA (IMPRESSO)",0085-5626,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2011,"Chave de identificação ilustrada dos Phlebotominae (Diptera, Psychodidae) do Estado de São Paulo, Brasil","PAPÉIS AVULSOS DE ZOOLOGIA (USP.MUSEU DE ZOOLOGIA. IMPRESSO)",0031-1049,B2,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2010,"Geographical distribution of American cutaneous leishmaniasis and its phlebotomine vectors (Diptera: Psychodidae) in the state of São Paulo, Brazil","PARASITES & VECTORS",1756-3305,A2,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2010,"Lista de espécies de Phlebotominae (Diptera, Psychodidae) do estado de São Paulo, Brasil, com comentários sobre sua distribuição geográfica","BIOTA NEOTROPICA (ONLINE. EDIÇÃO EM INGLÊS)",1676-0611,B1,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2007,"Brumptomyia carvalheiroi sp. nov. (Diptera: Psychodidae: Phlebotominae) from Atlantic forest domain, São Paulo State, Brazil","ZOOTAXA (AUCKLAND)",1175-5326,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2003,"Duas novas espécies de Alphomelon Mason, 1981","REVISTA BRASILEIRA DE ENTOMOLOGIA",0085-5626,A4,,,2020
"Paloma Helena Fernandes Shimabukuro",http://lattes.cnpq.br/3508138338414003,2002,"A new species of the genus 	Xanthomicrogaster Cameron","ZOOLOGISCHER ANZEIGER",0044-5231,A3,,,2020
