nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2016,"Anopheles darlingi polytene chromosomes: revised maps including newly described inversions and evidence for population structure in Manaus","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)",1678-8060,A4,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2016,"Bacterial diversity of the American sand fly Lutzomyia intermedia using high-throughput metagenomic sequencing","PARASITES & VECTORS",1756-3305,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2016,"Lipophosphoglycans from Leishmania amazonensis Strains Display Immunomodulatory Properties via TLR4 and Do Not Affect Sand Fly Infection","PLOS NEGLECTED TROPICAL DISEASES (ONLINE)",1935-2735,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2016,"Species-specific escape of Plasmodium sporozoites from oocysts of avian, rodent, and human malarial parasites","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2016,"Aedes (Stegomyia) albopictus? dynamics influenced by spatiotemporal characteristics in a Brazilian dengue-endemic risk city.","ACTA TROPICA",0001-706X,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2015,"An overview of malaria transmission from the perspective of Amazon Anopheles vectors","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)",0074-0276,A4,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2014,"Distinct variation in vector competence among nine field populations of Aedes aegypti from a Brazilian dengue-endemic risk city","PARASITES & VECTORS",1756-3305,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2013,"Asymptomatic dogs are highly competent to transmit Leishmania (Leishmania) infantum chagasi to the natural vector","VETERINARY PARASITOLOGY (PRINT)",0304-4017,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2013,"Experimental Plasmodium vivax infection of key Anopheles species from the Brazilian Amazon","MALARIA JOURNAL (ONLINE)",1475-2875,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2012,"The transmission of Leishmania infantum chagasi by the bite of the Lutzomyia longipalpis to two different vertebrates","PARASITES & VECTORS",1756-3305,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2012,"Development of Leishmania (Leishmania) infantum chagasi in Its Natural Sandfly Vector Lutzomyia longipalpis","THE AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE",0002-9637,A3,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2011,"Leishmania infantum: Lipophosphoglycan intraspecific variation and interaction with vertebrate and invertebrate hosts","INTERNATIONAL JOURNAL FOR PARASITOLOGY",0020-7519,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2011,"Infection Parameters in the Sand Fly Vector That Predict Transmission of Leishmania major","PLOS NEGLECTED TROPICAL DISEASES",1935-2735,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2011,"The JAK-STAT Pathway Controls Plasmodium vivax Load in Early Stages of Anopheles aquasalis Infection","PLOS NEGLECTED TROPICAL DISEASES",1935-2727,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2011,"Use of the checkerboard DNA-DNA hybridization technique for bacteria detection in Aedes aegypti (Diptera:Culicidae) (L.)","PARASITES & VECTORS",1756-3305,A2,,,2020
