letter	frequency
A	0,08
B	0,01
C	0,03
D	0,04
E	0,13
F	0,02
G	0,02
H	0,06
I	0,07
J	0,00
K	0,01
L	0,04
M	0,02
N	0,07
O	0,08
P	0,02
Q	0,00
R	0,06
S	0,06
T	0,09
U	0,03
V	0,01
W	0,02
X	0,00
Y	0,02
Z	0,00
